"項目","1.雇用者報酬","1.雇用者報酬_うち賃金・俸給","1.雇用者報酬_うち雇主の社会負担","2. 財産所得_ (非企業部門)","2. 財産所得_うち一般政府","2. 財産所得_うち家計","2. 財産所得_うち対家計民間非営利団体","3. 企業所得_ (法人企業の分配所得受払後)","3. 企業所得_うち民間法人企業","3. 企業所得_うち公的企業","3. 企業所得_うち個人企業","4.市町村民所得(1+2+3)"
"和歌山県計","54.2","46.0","8.2","5.4","-0.5","5.8","0.1","40.4","29.0","0.8","10.6","100.0"
"和歌山市","46.1","38.4","7.6","5.5","-0.2","5.6","0.1","48.4","39.5","0.3","8.6","100.0"
"海南市","42.5","36.9","5.6","3.2","-1.2","4.3","0.1","54.3","43.0","1.9","9.4","100.0"
"橋本市","68.6","58.1","10.4","7.1","0.7","6.3","0.1","24.3","12.5","0.8","11.0","100.0"
"有田市","58.6","48.3","10.2","9.6","4.3","5.2","0.1","31.8","17.3","1.1","13.5","100.0"
"御坊市","54.9","45.0","9.9","7.7","1.2","6.3","0.2","37.4","28.2","-3.1","12.3","100.0"
"田辺市","60.8","52.3","8.4","4.4","-2.3","6.5","0.1","34.8","21.6","1.3","11.9","100.0"
"新宮市","57.4","47.8","9.6","7.1","0.4","6.5","0.1","35.5","24.2","0.3","10.9","100.0"
"紀の川市","64.8","56.4","8.5","4.4","-1.3","5.7","0.1","30.7","16.8","1.3","12.6","100.0"
"岩出市","71.3","61.7","9.6","4.7","-1.1","5.7","0.1","24.0","13.3","1.1","9.6","100.0"
"海草郡_紀美野町","70.2","60.8","9.4","4.5","-2.0","6.4","0.1","25.3","7.9","1.6","15.9","100.0"
"伊都郡_かつらぎ町","67.9","58.3","9.6","4.9","-1.6","6.4","0.1","27.3","10.5","1.7","15.0","100.0"
"伊都郡_九度山町","72.3","63.1","9.2","5.6","-2.2","7.7","0.1","22.1","5.9","1.5","14.7","100.0"
"伊都郡_高野町","66.2","57.7","8.5","8.2","-1.5","6.2","3.5","25.6","12.3","0.7","12.6","100.0"
"有田郡_湯浅町","65.4","55.3","10.2","4.7","-1.5","6.1","0.1","29.9","13.4","0.1","16.3","100.0"
"有田郡_広川町","66.3","56.5","9.7","5.1","-1.5","6.4","0.1","28.7","9.8","3.6","15.3","100.0"
"有田郡_有田川町","58.2","49.9","8.3","4.1","-2.0","6.0","0.1","37.7","18.0","3.4","16.3","100.0"
"日高郡_美浜町","73.1","63.4","9.7","5.6","-1.4","6.9","0.1","21.3","5.9","4.1","11.3","100.0"
"日高郡_日高町","72.6","63.4","9.2","5.5","-1.8","7.2","0.1","21.9","5.2","1.7","15.0","100.0"
"日高郡_由良町","59.9","52.4","7.5","4.4","-1.6","5.8","0.1","35.7","21.3","1.8","12.6","100.0"
"日高郡印南町","58.8","51.3","7.5","4.8","-1.5","6.3","0.1","36.4","19.8","2.3","14.3","100.0"
"日高郡みなべ町","60.5","52.2","8.2","4.3","-2.1","6.3","0.1","35.3","15.8","1.6","17.8","100.0"
"日高郡日高川町","65.7","57.2","8.6","4.6","-2.2","6.7","0.1","29.7","14.9","2.3","12.5","100.0"
"西牟婁郡_白浜町","56.3","48.9","7.3","4.4","-1.3","5.6","0.1","39.3","27.4","1.4","10.5","100.0"
"西牟婁郡_上富田町","64.3","54.8","9.5","4.7","-1.2","5.9","0.1","31.0","17.8","2.0","11.2","100.0"
"西牟婁郡_すさみ町","66.4","57.4","9.0","5.5","-1.8","7.2","0.1","28.1","10.8","1.1","16.2","100.0"
"東牟婁郡_那智勝浦町","65.8","57.5","8.3","5.5","-1.4","6.8","0.2","28.7","12.2","1.0","15.5","100.0"
"東牟婁郡_太地町","69.0","60.2","8.8","5.9","-1.8","7.5","0.1","25.2","5.2","2.7","17.3","100.0"
"東牟婁郡_古座川町","72.0","62.4","9.5","5.3","-2.7","7.8","0.1","22.8","6.6","0.4","15.8","100.0"
"東牟婁郡_北山村","66.2","57.0","9.2","8.5","-1.9","10.4","0.1","25.3","18.1","-1.8","8.9","100.0"
"東牟婁郡_串本町","64.8","55.5","9.3","5.1","-1.5","6.5","0.1","30.2","12.4","1.1","16.6","100.0"
"海草地区","46.0","38.6","7.4","5.2","-0.4","5.5","0.1","48.8","39.4","0.5","8.8","100.0"
"那賀地区","67.6","58.7","8.9","4.5","-1.2","5.7","0.1","27.9","15.3","1.2","11.3","100.0"
"伊都地区","68.5","58.4","10.1","6.7","0.1","6.4","0.3","24.8","11.8","1.0","12.0","100.0"
"有田地区","60.2","50.6","9.5","6.6","0.8","5.7","0.1","33.2","16.3","1.9","15.0","100.0"
"日高地区","61.1","52.1","9.0","5.9","-0.7","6.4","0.1","33.1","19.2","0.3","13.5","100.0"
"西牟婁地区","60.5","52.1","8.4","4.5","-1.9","6.3","0.1","35.0","21.9","1.4","11.7","100.0"
"東牟婁地区","61.9","52.6","9.2","6.2","-0.6","6.7","0.1","31.9","17.6","0.7","13.6","100.0"
