"項目","1.雇用者報酬","1.雇用者報酬_うち賃金・俸給","1.雇用者報酬_うち雇主の社会負担","2. 財産所得_ (非企業部門)","2. 財産所得_うち一般政府","2. 財産所得_うち家計","2. 財産所得_うち対家計民間非営利団体","3. 企業所得_ (法人企業の分配所得受払後)","3. 企業所得_うち民間法人企業","3. 企業所得_うち公的企業","3. 企業所得_うち個人企業","4.市町村民所得(1+2+3)"
"和歌山県計","1446910.0","1183174.0","263736.0","98580.0","-32706.0","128960.0","2326.0","1163975.0","854089.0","16338.0","293549.0","2709465.0"
"和歌山市","554511.0","452755.0","101756.0","35496.0","-19311.0","53590.0","1216.0","598182.0","475887.0","4954.0","117341.0","1188215.0"
"海南市","79512.0","65689.0","13824.0","4864.0","-1972.0","6758.0","78.0","98659.0","79165.0","2044.0","17450.0","183036.0"
"橋本市","105485.0","86205.0","19279.0","5567.0","-2903.0","8377.0","93.0","43973.0","25675.0","1107.0","17191.0","155026.0"
"有田市","42387.0","34746.0","7641.0","2366.0","-998.0","3326.0","39.0","30895.0","20259.0","940.0","9696.0","75648.0"
"御坊市","35505.0","28203.0","7302.0","3118.0","-188.0","3239.0","67.0","22438.0","18104.0","-3161.0","7495.0","61068.0"
"田辺市","108846.0","88671.0","20175.0","10783.0","752.0","9922.0","109.0","70719.0","48950.0","1274.0","20495.0","190299.0"
"新宮市","42294.0","33893.0","8401.0","2813.0","-1145.0","3890.0","68.0","34241.0","25821.0","483.0","7936.0","79351.0"
"紀の川市","96007.0","79382.0","16625.0","5818.0","-2074.0","7779.0","112.0","50126.0","30377.0","1476.0","18272.0","151952.0"
"岩出市","80349.0","66068.0","14281.0","5157.0","-1145.0","6261.0","41.0","34255.0","21339.0","1219.0","11697.0","119761.0"
"海草郡_紀美野町","14853.0","12266.0","2587.0","765.0","-454.0","1207.0","12.0","5806.0","2415.0","230.0","3162.0","21425.0"
"伊都郡_かつらぎ町","25752.0","21049.0","4704.0","1619.0","-510.0","2116.0","13.0","14091.0","7619.0","586.0","5886.0","41463.0"
"伊都郡_九度山町","6778.0","5639.0","1139.0","407.0","-188.0","590.0","5.0","2466.0","871.0","208.0","1387.0","9652.0"
"伊都郡_高野町","6495.0","5402.0","1093.0","550.0","-150.0","485.0","214.0","2569.0","1355.0","39.0","1175.0","9614.0"
"有田郡_湯浅町","17868.0","14331.0","3537.0","1414.0","-27.0","1422.0","19.0","10853.0","6629.0","2.0","4223.0","30135.0"
"有田郡_広川町","10067.0","8182.0","1884.0","575.0","-217.0","783.0","9.0","4916.0","2274.0","406.0","2236.0","15558.0"
"有田郡_有田川町","35606.0","29127.0","6479.0","1870.0","-1174.0","3012.0","33.0","25205.0","14344.0","1377.0","9483.0","62682.0"
"日高郡_美浜町","12713.0","10298.0","2415.0","2991.0","1987.0","1000.0","3.0","3458.0","1448.0","112.0","1898.0","19156.0"
"日高郡_日高町","11110.0","9250.0","1860.0","637.0","-299.0","927.0","9.0","4174.0","1846.0","239.0","2090.0","15922.0"
"日高郡_由良町","9023.0","7494.0","1529.0","572.0","-203.0","767.0","9.0","10017.0","8175.0","62.0","1780.0","19612.0"
"日高郡印南町","10861.0","9015.0","1846.0","698.0","-311.0","997.0","12.0","7692.0","4716.0","419.0","2558.0","19251.0"
"日高郡みなべ町","16703.0","13722.0","2981.0","1012.0","-571.0","1565.0","18.0","11192.0","5984.0","390.0","4818.0","28907.0"
"日高郡日高川町","14459.0","11969.0","2490.0","808.0","-464.0","1250.0","22.0","7916.0","4882.0","367.0","2668.0","23186.0"
"西牟婁郡_白浜町","29470.0","24226.0","5243.0","2121.0","-597.0","2683.0","35.0","25455.0","19587.0","442.0","5427.0","57053.0"
"西牟婁郡_上富田町","22363.0","18132.0","4231.0","1510.0","-357.0","1849.0","19.0","16382.0","11748.0","743.0","3891.0","40255.0"
"西牟婁郡_すさみ町","5801.0","4772.0","1028.0","358.0","-159.0","513.0","4.0","2939.0","1507.0","105.0","1327.0","9098.0"
"東牟婁郡_那智勝浦町","20896.0","17279.0","3617.0","1413.0","-473.0","1854.0","32.0","10079.0","5196.0","192.0","4691.0","32385.0"
"東牟婁郡_太地町","4486.0","3729.0","757.0","275.0","-133.0","399.0","9.0","1689.0","570.0","74.0","1045.0","6450.0"
"東牟婁郡_古座川町","3773.0","3113.0","660.0","326.0","-7.0","319.0","15.0","1401.0","563.0","63.0","775.0","5500.0"
"東牟婁郡_北山村","642.0","540.0","102.0","33.0","-23.0","55.0","1.0","329.0","276.0","-41.0","94.0","1004.0"
"東牟婁郡_串本町","22295.0","18027.0","4268.0","2643.0","608.0","2025.0","11.0","11859.0","6510.0","-12.0","5361.0","36801.0"
"海草地区","648876.0","530710.0","118166.0","41125.0","-21736.0","61556.0","1306.0","702648.0","557467.0","7228.0","137953.0","1392675.0"
"那賀地区","176356.0","145450.0","30907.0","10975.0","-3218.0","14040.0","153.0","84381.0","51716.0","2696.0","29969.0","271712.0"
"伊都地区","144510.0","118295.0","26215.0","8143.0","-3751.0","11569.0","325.0","63099.0","35520.0","1940.0","25640.0","215756.0"
"有田地区","105928.0","86387.0","19541.0","6226.0","-2416.0","8542.0","100.0","71868.0","43506.0","2725.0","25638.0","184023.0"
"日高地区","110375.0","89950.0","20425.0","9835.0","-50.0","9746.0","140.0","66886.0","45154.0","-1574.0","23307.0","187102.0"
"西牟婁地区","166480.0","135802.0","30678.0","14773.0","-361.0","14966.0","167.0","115495.0","81792.0","2563.0","31140.0","296705.0"
"東牟婁地区","94385.0","76581.0","17805.0","7503.0","-1173.0","8541.0","135.0","59597.0","38935.0","760.0","19902.0","161492.0"
