"項目","1.雇用者報酬","1.雇用者報酬_うち賃金・俸給","1.雇用者報酬_うち雇主の社会負担","2. 財産所得_ (非企業部門)","2. 財産所得_うち一般政府","2. 財産所得_うち家計","2. 財産所得_うち対家計民間非営利団体","3. 企業所得_ (法人企業の分配所得受払後)","3. 企業所得_うち民間法人企業","3. 企業所得_うち公的企業","3. 企業所得_うち個人企業","4.市町村民所得(1+2+3)"
"和歌山県計","-1.8","-1.1","-6.0","-20.6","-64.1","-13.0","-8.8","-12.7","-10.6","-179.7","-5.7","-7.2"
"和歌山市","-3.2","-0.9","-14.6","-34.9","-528.5","-13.5","-3.9","-15.4","-11.7","-729.3","-5.0","-10.9"
"海南市","-0.6","-1.4","4.3","-5.9","32.2","-12.9","-9.4","-22.8","-27.1","-3.5","-7.3","-12.8"
"橋本市","-2.6","-0.7","-12.9","-41.6","-284.1","-13.1","-13.4","-16.3","-27.5","22.9","-6.3","-8.7"
"有田市","-5.8","-1.4","-26.1","-64.3","-123.9","-15.4","-7.9","200.3","345.1","475.0","-6.2","54.2"
"御坊市","-1.8","-0.1","-9.2","-27.8","-101.2","-13.9","-16.1","-41.5","-27.3","-219.4","-7.6","-18.6"
"田辺市","1.0","-0.5","10.5","44.6","123.0","-12.6","-12.1","-34.0","-31.6","-296.1","-9.1","-9.3"
"新宮市","-2.2","-0.8","-9.2","-31.0","-292.5","-13.5","-14.8","-22.0","-20.9","-522.0","-10.8","-11.3"
"紀の川市","-1.2","-1.9","3.6","-3.4","31.0","-9.9","-4.6","-17.3","-29.8","20.3","-4.5","-6.2"
"岩出市","-0.4","-1.0","3.4","-1.5","44.5","-9.4","-12.8","-9.3","-11.4","-15.1","-5.8","-2.6"
"海草郡_紀美野町","-2.3","-3.2","3.6","4.0","47.1","-11.8","-17.7","-3.8","-7.0","57.4","-8.2","-2.4"
"伊都郡_かつらぎ町","-1.5","-2.4","3.7","-0.5","48.8","-12.3","-21.5","-1.5","-2.2","33.7","-4.9","-1.5"
"伊都郡_九度山町","-2.1","-2.9","3.1","-4.8","50.3","-17.7","-20.9","-9.3","-14.3","-23.3","-5.8","-3.9"
"伊都郡_高野町","0.6","-0.1","4.9","-5.6","78.2","-17.4","-16.1","-22.2","-35.4","33.3","-12.4","-5.8"
"有田郡_湯浅町","-0.6","-2.0","7.1","34.0","160.8","-13.1","-20.2","-24.7","-18.1","-2566.5","-7.5","-6.2"
"有田郡_広川町","-1.8","-2.3","1.2","-25.6","8.6","-21.5","-30.1","-5.4","-9.4","2.5","-4.7","-4.0"
"有田郡_有田川町","0.0","-0.7","4.2","-15.0","22.1","-17.4","-15.0","-7.5","-17.3","23.8","-3.2","-3.5"
"日高郡_美浜町","3.1","-0.5","26.5","173.4","799.7","-18.0","-38.5","-49.2","-36.0","-181.7","-7.7","1.6"
"日高郡_日高町","1.7","1.2","5.2","-12.5","29.1","-16.6","-21.8","0.0","-10.9","59.7","-3.0","0.6"
"日高郡_由良町","-1.6","-2.5","4.7","-1.8","40.5","-11.7","-22.8","1.9","12.9","-47.3","-9.6","-0.3"
"日高郡印南町","0.0","-1.3","8.5","5.6","62.1","-10.7","-14.3","-21.1","-36.7","-1.2","-2.6","-7.4"
"日高郡みなべ町","0.3","-1.0","8.3","16.2","57.9","-8.4","-14.5","-16.9","-36.4","-6.2","-0.4","-5.1"
"日高郡日高川町","-0.7","-1.6","5.4","-2.1","38.4","-14.0","-9.6","-0.7","-0.9","21.6","-4.6","-0.7"
"西牟婁郡_白浜町","0.1","-1.1","7.6","10.1","76.4","-9.7","-8.8","-14.2","-20.7","73.0","-8.9","-5.1"
"西牟婁郡_上富田町","-0.2","-0.7","2.7","-6.9","35.2","-12.9","-4.4","-19.7","-33.2","24.5","-6.3","-6.6"
"西牟婁郡_すさみ町","0.0","-1.1","7.2","3.2","70.0","-14.3","-19.3","-16.3","-21.0","-55.2","-10.5","-4.4"
"東牟婁郡_那智勝浦町","0.0","-1.3","8.7","10.7","83.3","-8.8","-14.4","-19.6","-27.0","-64.4","-10.8","-5.1"
"東牟婁郡_太地町","1.1","0.6","4.8","-18.1","7.2","-16.1","14.6","29.5","62.3","22.9","20.7","7.1"
"東牟婁郡_古座川町","-0.2","-2.0","11.3","42.9","127.1","-15.7","56.3","-17.5","-9.4","-408.2","-11.0","-1.9"
"東牟婁郡_北山村","-5.7","-6.1","-3.4","-18.0","169.7","-46.5","-14.8","-1.4","-26.8","294.2","-8.6","-5.7"
"東牟婁郡_串本町","0.6","-1.5","13.5","67.3","268.4","-9.4","-23.0","-14.1","-22.9","-210.4","6.0","-0.4"
"海草地区","-2.9","-1.0","-12.4","-32.1","-253.2","-13.4","-4.4","-16.4","-13.9","-375.4","-5.4","-11.0"
"那賀地区","-0.8","-1.5","3.5","-2.6","35.9","-9.7","-7.1","-14.4","-23.0","6.6","-5.0","-4.7"
"伊都地区","-2.2","-1.1","-8.6","-32.6","-1648.6","-13.4","-15.7","-13.3","-23.5","23.4","-6.2","-7.0"
"有田地区","-2.6","-1.4","-9.3","-40.6","-219.4","-16.3","-15.7","73.9","144.6","94.4","-5.2","20.3"
"日高地区","-0.2","-0.7","2.4","3.7","151.0","-13.3","-16.9","-24.9","-22.9","-966.8","-5.1","-8.1"
"西牟婁地区","0.7","-0.6","8.7","29.4","108.3","-12.2","-10.9","-27.7","-28.9","-163.0","-8.8","-8.0"
"東牟婁地区","-0.8","-1.1","0.7","-2.1","114.3","-12.2","-11.9","-18.0","-21.0","-197.6","-4.5","-6.4"
