"項目","1.雇用者報酬","1.雇用者報酬_うち賃金・俸給","1.雇用者報酬_うち雇主の社会負担","2. 財産所得_ (非企業部門)","2. 財産所得_うち一般政府","2. 財産所得_うち家計","2. 財産所得_うち対家計民間非営利団体","3. 企業所得_ (法人企業の分配所得受払後)","3. 企業所得_うち民間法人企業","3. 企業所得_うち公的企業","3. 企業所得_うち個人企業","4.市町村民所得(1+2+3)"
"和歌山県計","64.9","54.9","10.0","5.0","-1.5","6.5","0.1","30.1","20.4","-0.6","10.3","100.0"
"和歌山市","58.2","48.9","9.3","4.6","-2.2","6.8","0.0","37.1","29.1","-0.9","8.9","100.0"
"海南市","58.7","49.7","9.0","4.8","-0.8","5.6","0.1","36.5","23.1","2.2","11.2","100.0"
"橋本市","73.9","62.7","11.2","5.1","-1.4","6.5","0.0","21.1","10.8","-0.3","10.6","100.0"
"有田市","64.3","54.7","9.6","4.4","-0.9","5.3","0.0","31.3","19.8","-0.2","11.7","100.0"
"御坊市","61.8","51.7","10.1","5.7","-1.5","7.1","0.1","32.6","19.6","1.6","11.4","100.0"
"田辺市","67.1","56.7","10.4","5.6","-1.1","6.6","0.1","27.3","16.5","0.4","10.5","100.0"
"新宮市","64.4","54.2","10.2","5.5","-1.3","6.7","0.1","30.1","19.9","0.3","9.9","100.0"
"紀の川市","71.8","61.5","10.4","5.1","-1.0","5.9","0.1","23.1","11.0","0.2","11.9","100.0"
"岩出市","78.2","66.7","11.5","5.0","-0.7","5.7","0.0","16.8","7.0","1.3","8.5","100.0"
"海草郡_紀美野町","76.0","65.0","10.9","5.4","-0.7","6.2","0.0","18.6","5.2","1.1","12.3","100.0"
"伊都郡_かつらぎ町","73.2","62.1","11.1","5.1","-0.9","6.0","0.0","21.6","8.5","0.3","12.7","100.0"
"伊都郡_九度山町","76.4","65.7","10.8","6.1","-0.9","6.9","0.1","17.5","5.6","-0.4","12.4","100.0"
"伊都郡_高野町","74.2","63.7","10.5","5.5","-1.5","5.9","1.1","20.3","9.8","-1.4","12.0","100.0"
"有田郡_湯浅町","69.5","58.5","11.0","5.3","-0.5","5.7","0.1","25.1","9.0","3.2","12.9","100.0"
"有田郡_広川町","69.5","59.1","10.4","4.2","-1.4","5.5","0.1","26.3","11.6","2.8","11.9","100.0"
"有田郡_有田川町","67.9","57.9","10.0","4.2","-2.0","6.1","0.1","27.9","13.0","0.3","14.6","100.0"
"日高郡_美浜町","72.6","61.4","11.2","10.2","4.2","5.9","0.0","17.2","4.1","3.8","9.3","100.0"
"日高郡_日高町","75.9","65.2","10.7","5.4","-1.2","6.4","0.1","18.8","6.8","-0.7","12.7","100.0"
"日高郡_由良町","68.5","58.7","9.8","5.3","-0.7","5.9","0.1","26.1","17.3","-1.4","10.2","100.0"
"日高郡印南町","67.9","58.3","9.6","5.6","-1.1","6.7","0.1","26.5","14.4","0.5","11.5","100.0"
"日高郡みなべ町","64.1","54.9","9.2","4.7","-1.6","6.3","0.1","31.2","15.6","1.4","14.1","100.0"
"日高郡日高川町","182.1","156.3","25.8","10.9","-5.2","15.8","0.2","-92.9","24.6","-144.0","26.4","100.0"
"西牟婁郡_白浜町","66.6","56.8","9.8","5.1","-0.4","5.4","0.1","28.4","19.6","0.0","8.8","100.0"
"西牟婁郡_上富田町","75.6","64.1","11.5","5.4","-0.9","6.2","0.1","19.0","11.6","-2.3","9.6","100.0"
"西牟婁郡_すさみ町","73.0","62.3","10.7","6.3","-0.9","7.1","0.1","20.7","6.7","0.4","13.6","100.0"
"東牟婁郡_那智勝浦町","75.6","64.7","10.9","6.2","-0.3","6.5","0.1","18.2","6.8","-1.7","13.0","100.0"
"東牟婁郡_太地町","75.4","64.9","10.5","6.1","-0.5","6.6","0.0","18.5","4.8","0.7","13.0","100.0"
"東牟婁郡_古座川町","101.5","86.6","15.0","8.7","-1.4","9.6","0.5","-10.2","8.9","-37.2","18.2","100.0"
"東牟婁郡_北山村","69.1","59.6","9.5","3.9","-1.9","5.7","0.2","27.0","14.8","4.3","7.9","100.0"
"東牟婁郡_串本町","70.2","59.3","10.9","7.4","0.9","6.4","0.1","22.4","8.8","0.9","12.8","100.0"
"海草地区","58.6","49.3","9.3","4.7","-2.0","6.6","0.1","36.7","27.9","-0.5","9.2","100.0"
"那賀地区","74.5","63.7","10.9","5.0","-0.9","5.8","0.1","20.4","9.3","0.7","10.5","100.0"
"伊都地区","73.9","62.8","11.1","5.2","-1.3","6.4","0.1","20.9","10.0","-0.2","11.2","100.0"
"有田地区","66.8","56.8","10.1","4.5","-1.2","5.7","0.1","28.7","15.0","0.8","12.9","100.0"
"日高地区","72.4","61.6","10.9","6.2","-0.9","7.1","0.1","21.3","15.5","-6.7","12.5","100.0"
"西牟婁地区","68.1","57.7","10.4","5.5","-0.9","6.3","0.1","26.4","16.3","0.0","10.1","100.0"
"東牟婁地区","69.8","59.2","10.7","6.2","-0.6","6.7","0.1","24.0","13.4","-1.0","11.6","100.0"
