"項目","1.雇用者報酬","1.雇用者報酬_うち賃金・俸給","1.雇用者報酬_うち雇主の社会負担","2. 財産所得_ (非企業部門)","2. 財産所得_うち一般政府","2. 財産所得_うち家計","2. 財産所得_うち対家計民間非営利団体","3. 企業所得_ (法人企業の分配所得受払後)","3. 企業所得_うち民間法人企業","3. 企業所得_うち公的企業","3. 企業所得_うち個人企業","4.市町村民所得(1+2+3)"
"和歌山県計","1469180.0","1256029.0","213151.0","117798.0","-24348.0","139035.0","3111.0","974494.0","716328.0","-18065.0","276231.0","2561472.0"
"和歌山市","561281.0","479296.0","81985.0","45184.0","-17448.0","61070.0","1563.0","515349.0","438409.0","-26105.0","103046.0","1121815.0"
"海南市","80213.0","69091.0","11122.0","5709.0","-1489.0","7095.0","103.0","79465.0","59475.0","3413.0","16577.0","165387.0"
"橋本市","105067.0","90755.0","14311.0","6554.0","-2170.0","8594.0","130.0","32019.0","14271.0","1486.0","16263.0","143640.0"
"有田市","42189.0","36405.0","5784.0","2625.0","-792.0","3365.0","52.0","73072.0","58745.0","4643.0","9684.0","117886.0"
"御坊市","35317.0","29428.0","5889.0","3662.0","-10.0","3573.0","98.0","14313.0","13433.0","-6553.0","7433.0","53292.0"
"田辺市","111606.0","94647.0","16959.0","11500.0","945.0","10405.0","150.0","41768.0","26875.0","-4743.0","19637.0","164874.0"
"新宮市","43772.0","36954.0","6818.0","3834.0","-667.0","4404.0","97.0","21566.0","14936.0","-986.0","7616.0","69172.0"
"紀の川市","98013.0","84625.0","13389.0","6552.0","-1425.0","7833.0","143.0","38878.0","18100.0","2415.0","18363.0","143442.0"
"岩出市","80621.0","69351.0","11270.0","5239.0","-667.0","5849.0","57.0","24708.0","13383.0","1078.0","10247.0","110568.0"
"海草郡_紀美野町","15502.0","13299.0","2203.0","1056.0","-242.0","1282.0","17.0","5507.0","1663.0","554.0","3290.0","22066.0"
"伊都郡_かつらぎ町","26425.0","22509.0","3916.0","1918.0","-321.0","2218.0","21.0","10627.0","4069.0","900.0","5658.0","38970.0"
"伊都郡_九度山町","7068.0","6122.0","945.0","533.0","-110.0","635.0","8.0","2006.0","508.0","116.0","1382.0","9606.0"
"伊都郡_高野町","6977.0","6044.0","934.0","815.0","-35.0","538.0","312.0","2087.0","833.0","95.0","1159.0","9879.0"
"有田郡_湯浅町","18342.0","15274.0","3068.0","1773.0","258.0","1486.0","29.0","6343.0","3103.0","-1014.0","4254.0","26459.0"
"有田郡_広川町","10263.0","8707.0","1555.0","593.0","-216.0","793.0","16.0","4273.0","1398.0","582.0","2293.0","15129.0"
"有田郡_有田川町","35711.0","30416.0","5295.0","2121.0","-955.0","3029.0","47.0","21405.0","9151.0","2557.0","9697.0","59237.0"
"日高郡_美浜町","13143.0","10997.0","2146.0","2687.0","1687.0","993.0","7.0","1885.0","654.0","-588.0","1819.0","17715.0"
"日高郡_日高町","10911.0","9479.0","1432.0","711.0","-191.0","888.0","14.0","3239.0","690.0","399.0","2150.0","14861.0"
"日高郡_由良町","9356.0","8107.0","1249.0","684.0","-147.0","818.0","14.0","5778.0","3816.0","150.0","1812.0","15819.0"
"日高郡印南町","10860.0","9363.0","1497.0","940.0","-108.0","1032.0","17.0","5311.0","2319.0","423.0","2569.0","17111.0"
"日高郡みなべ町","16610.0","14169.0","2441.0","1354.0","-245.0","1574.0","25.0","8032.0","2759.0","417.0","4855.0","25995.0"
"日高郡日高川町","14805.0","12759.0","2046.0","1019.0","-311.0","1300.0","30.0","6680.0","3351.0","629.0","2700.0","22504.0"
"西牟婁郡_白浜町","30696.0","26390.0","4306.0","2656.0","-168.0","2778.0","47.0","18369.0","11840.0","1303.0","5227.0","51721.0"
"西牟婁郡_上富田町","22743.0","19282.0","3461.0","1556.0","-281.0","1813.0","24.0","8819.0","4207.0","885.0","3727.0","33118.0"
"西牟婁郡_すさみ町","6033.0","5155.0","878.0","519.0","-48.0","561.0","6.0","2135.0","776.0","46.0","1313.0","8686.0"
"東牟婁郡_那智勝浦町","22151.0","19099.0","3053.0","2037.0","-81.0","2073.0","46.0","7772.0","2988.0","122.0","4663.0","31961.0"
"東牟婁郡_太地町","4549.0","3948.0","601.0","313.0","-107.0","411.0","10.0","2125.0","546.0","215.0","1365.0","6987.0"
"東牟婁郡_古座川町","4069.0","3468.0","601.0","426.0","41.0","373.0","11.0","1064.0","339.0","-70.0","795.0","5559.0"
"東牟婁郡_北山村","668.0","572.0","95.0","75.0","15.0","59.0","1.0","267.0","142.0","37.0","87.0","1009.0"
"東牟婁郡_串本町","24221.0","20318.0","3902.0","3153.0","941.0","2194.0","17.0","9630.0","3549.0","-470.0","6551.0","37004.0"
"海草地区","656996.0","561687.0","95310.0","51949.0","-19179.0","69446.0","1683.0","600322.0","499547.0","-22138.0","122913.0","1309267.0"
"那賀地区","178634.0","153976.0","24658.0","11791.0","-2092.0","13682.0","200.0","63585.0","31483.0","3492.0","28609.0","254010.0"
"伊都地区","145536.0","125430.0","20106.0","9820.0","-2636.0","11985.0","470.0","46740.0","19681.0","2597.0","24462.0","202096.0"
"有田地区","106505.0","90803.0","15702.0","7112.0","-1705.0","8674.0","143.0","105094.0","72398.0","6768.0","25928.0","218711.0"
